Resp_Day,ID_fish,chamber_ch,Temp_class,RMR,RMR_var,RMR_perc,time_start,time_end,mass,length,volume_net,SMR,MMR,log_mass,Month,resid,SMR_mass,SMR_resid,RMR_mass,RMR_resid,MMR_mass,MMR_resid,Rack,Bin,TagID,Final_Mass_g,Final_Length_mm,Gonad_mass_g,Sex,Fat_mass_g,Ventricle_mass_g,Otolith_age_y,mass_prev,SGR,Period_start,Period_end,SMR_prev,SMR_mass_prev,RMR_prev,RMR_mass_prev,MMR_prev,MMR_mass_prev,Overall_SGR,SGR_predict,SGR_resid,time,Month_int,GutRatio_1,GutRatio_2,Location,Density_tagged,Density,Density_diff
1,95,C3,18,0.577891345,NA,NA,27/04/2023 17:17,28/04/2023 10:17,2.83,83,707.17,0.343494953,0.668486376,0.451786436,April,NA,0.45371767,NA,0.709509591,NA,1.845694043,NA,3,7,BL,4.14,94,0.7,F,0.105,0.002,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
1,96,D4,18,0.539186118,NA,NA,27/04/2023 17:17,28/04/2023 10:17,2.16,78,707.84,0.342964597,0.875229789,0.334453751,April,NA,0.3792418,NA,0.670635839,NA,1.364306877,NA,3,7,BR,3.687,89,0.01,I,0.054,0.005,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,97,B3,18,0.242406527,NA,NA,28/04/2023 16:37,29/04/2023 11:17,1.08,65,708.92,0.075909658,1.042327746,0.033423755,April,NA,0.489311191,NA,0.615818949,NA,1.03219166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,98,A2,18,0.348267471,NA,NA,28/04/2023 16:37,29/04/2023 11:17,2.26,78,707.74,0.141782141,0.92297538,0.354108439,April,NA,0.455110557,NA,0.552661286,NA,1.590344323,NA,3,8,YR,4.65,96,0.057,F,0.145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,99,B1,18,0.182229884,NA,NA,28/04/2023 16:37,29/04/2023 11:17,0.91,61,709.09,0.038163255,0.441551552,-0.040958608,April,NA,0.500233298,NA,0.610261921,NA,1.361582408,NA,3,8,BrL,1.66,69,0.016,M,0.002,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,100,B4,18,0.397240819,NA,NA,28/04/2023 16:37,29/04/2023 11:17,2.26,77,707.74,0.195182295,1.389260044,0.354108439,April,NA,0.403791534,NA,0.599514051,NA,1.511786616,NA,3,8,BrR,3.708,94,0.035,F,0.068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,101,A1,18,0.327644729,NA,NA,28/04/2023 16:37,29/04/2023 11:17,1.73,76,708.27,0.127998183,0.684868036,0.238046103,April,NA,0.520649279,NA,0.610815471,NA,1.363065047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,102,A3,18,0.267975201,NA,NA,28/04/2023 16:37,29/04/2023 11:17,1.97,73,708.03,0.143328483,0.730610532,0.294466226,April,NA,0.422023299,NA,0.525034242,NA,1.468603584,NA,3,8,RR,4.55,94,0.056,F,0.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,103,A4,18,0.187256808,NA,NA,28/04/2023 16:37,29/04/2023 11:17,0.66,61,709.34,0.061779609,0.432858939,-0.180456064,April,NA,0.545251304,NA,0.682725864,NA,1.611426831,NA,3,8,BL,2.3,78,0.012,I,0.077,0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
2,104,B2,18,0.292978669,NA,NA,28/04/2023 16:37,29/04/2023 11:17,1.61,73,708.39,0.080770712,0.607996706,0.206825876,April,NA,0.657300146,NA,0.887578589,NA,1.770401417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA
